Last Traded Price (LTP),Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest (OI),Previous Close Price,Previous Open Interest,expiry_date,strike_price,option_type,underlying,implied volatility,In the money
547.29,0,0,496.5,600,498.95,720,0,402.0,15280,04JUL23,19900.0,PE,FINANCIALS,,True
30.4,0,0,23.45,25,35.1,25,0,206.25,1925,27JUL23,39900.0,PE,ALLBANKS,21.99,False
102.6,0,0,102.15,50,103.85,50,18950,122.0,7800,31AUG23,18050.0,PE,MAINIDX,11.35,False
2.4,0,0,2.4,1000,2.65,100,207975,172.0,10350,27JUL23,14000.0,PE,MAINIDX,43.46,False
1601.0,0,0,1601.0,0,1601.0,0,0,18.0,50,27JUN24,18500.0,CE,MAINIDX,14.97,True
197.0,275,275,195.1,250,196.25,25,56300,108.0,9075,27JUL23,45100.0,CE,ALLBANKS,12.49,False
46.0,50,50,45.95,100,46.4,50,272150,126.0,9400,31AUG23,17600.0,PE,MAINIDX,12.3,False
1390.0,0,0,1397.35,150,1419.6,375,1500,573.25,17125,06JUL23,45400.0,PE,ALLBANKS,,True
714.45,0,0,704.9,150,716.8,50,69600,29.0,5250,31AUG23,18100.0,CE,MAINIDX,11.74,True
35.29,0,0,23.55,50,45.35,100,0,15.5,1850,31AUG23,17350.0,PE,MAINIDX,13.45,False
462.45,0,0,462.45,0,462.45,0,0,0.0,40,25JUL23,19550.0,PE,FINANCIALS,22.44,True
183.1,725,725,184.25,25,185.15,25,25350,239.0,21900,13JUL23,43400.0,PE,ALLBANKS,15.81,False
18.35,18400,18400,18.2,850,18.35,5100,1173250,709.0,62200,27JUL23,19200.0,CE,MAINIDX,9.36,False
1500.0,0,0,1500.0,0,1500.0,0,0,19.0,100,31DEC26,20000.0,PE,MAINIDX,17.32,True
589.9,0,0,534.9,100,553.65,50,0,94.0,8400,27JUL23,19150.0,PE,MAINIDX,11.8,True
1.8,0,0,1.8,50,2.1,500,0,226.5,9800,27JUL23,23000.0,CE,MAINIDX,31.57,False
3.35,4400,4400,3.3,50,3.35,1750,122050,438.0,39600,13JUL23,19300.0,CE,MAINIDX,12.56,False
16.45,407900,407900,16.45,6000,16.5,2200,4979800,3688.5,702150,06JUL23,18800.0,CE,MAINIDX,17.44,False
1175.0,0,0,1170.0,150,1200.8,150,0,60.0,6600,27JUL23,19800.0,PE,MAINIDX,,True
214.15,50900,50900,214.8,250,215.3,500,190400,988.5,53200,06JUL23,18750.0,PE,MAINIDX,15.37,True
2410.0,0,0,2029.5,750,2292.05,75,0,41.75,2600,27JUL23,41900.0,CE,ALLBANKS,21.14,True
20.8,0,0,20.8,0,20.8,0,0,0.5,250,03AUG23,17050.0,PE,MAINIDX,18.97,False
854.35,0,0,843.2,1880,866.75,800,0,260.0,7920,04JUL23,18550.0,CE,FINANCIALS,,True
1771.9,0,0,1699.7,100,1747.7,100,1075,549.75,9100,06JUL23,42300.0,CE,ALLBANKS,46.48,True
220.0,0,0,220.0,0,220.0,0,0,28.4,520,25JUL23,19600.0,CE,FINANCIALS,15.36,False
425.85,0,0,417.1,500,418.25,500,40900,622.5,42100,06JUL23,18150.0,CE,MAINIDX,27.48,True
940.0,0,0,968.7,50,995.25,50,0,55.0,4700,27JUL23,19600.0,PE,MAINIDX,,True
5.35,25,25,5.2,50,5.4,50,5000,469.5,3025,13JUL23,49500.0,CE,ALLBANKS,30.85,False
513.0,0,0,511.85,375,519.04,375,725,56.75,2275,20JUL23,44100.0,PE,ALLBANKS,13.75,True
1103.59,0,0,1070.3,50,1084.75,400,8850,58.5,6800,27JUL23,17550.0,CE,MAINIDX,19.6,True
5.85,150,150,5.8,450,5.95,200,35550,277.5,18300,20JUL23,19500.0,CE,MAINIDX,12.32,False
87.8,1094200,1094200,87.6,1550,87.75,2250,3751400,5294.5,349900,06JUL23,18550.0,PE,MAINIDX,17.2,True
72.84,929750,929750,72.8,100,72.9,400,11478900,7070.5,1867400,06JUL23,18600.0,CE,MAINIDX,18.1,False
478.75,0,0,446.25,250,0.0,0,0,7.5,0,28SEP23,18950.0,PE,MAINIDX,10.6,True
94.25,350,350,93.65,25,94.4,75,19125,146.0,9775,13JUL23,42900.0,PE,ALLBANKS,16.81,False
1196.3,0,0,1122.3,3850,1154.8,1250,0,155.5,15550,06JUL23,19700.0,PE,MAINIDX,69.66,True
5.05,0,0,5.05,0,5.05,0,4850,19.5,2950,26OCT23,24000.0,CE,MAINIDX,17.79,False
291.39,0,0,290.6,25,292.35,50,46175,185.5,6350,27JUL23,43300.0,PE,ALLBANKS,14.18,False
203.9,0,0,193.85,1600,200.7,100,6700,123.5,7500,20JUL23,18550.0,CE,MAINIDX,11.95,False
118.95,1440,1440,118.3,240,121.15,80,9520,130.0,12040,11JUL23,19500.0,CE,FINANCIALS,14.63,False
208.65,1250,1250,209.1,300,209.8,200,114050,310.0,19850,27JUL23,18650.0,PE,MAINIDX,10.07,True
44.2,3250,3250,43.65,50,44.2,100,249600,182.0,5800,28SEP23,17000.0,PE,MAINIDX,14.46,False
10.75,1200,1200,10.6,3050,10.75,400,56550,431.0,33200,13JUL23,19050.0,CE,MAINIDX,11.29,False
1004.6,0,0,974.8,25,991.7,25,1425,83.5,6650,13JUL23,43200.0,CE,ALLBANKS,17.61,True
2283.0,0,0,2063.75,75,2248.65,100,0,25.75,2550,27JUL23,46200.0,PE,ALLBANKS,19.74,True
1472.5,0,0,1415.85,45,1494.3,45,765,10.65,1020,28SEP23,45000.0,PE,ALLBANKS,14.16,True
160.35,0,0,159.19,80,220.2,120,160,48.8,2880,11JUL23,19450.0,PE,FINANCIALS,13.79,True
1450.15,0,0,1113.3,500,1433.15,2250,0,48.5,4600,31AUG23,17400.0,CE,MAINIDX,21.14,True
78.09,350,350,78.4,50,78.84,50,1183150,266.0,23300,26OCT23,17000.0,PE,MAINIDX,15.0,False
300.0,1050,1050,298.05,100,298.95,50,1967050,308.0,10100,28DEC23,18000.0,PE,MAINIDX,13.58,False
445.0,0,0,451.4,300,454.35,300,186450,120.5,8200,31AUG23,19000.0,PE,MAINIDX,9.02,True
108.0,75640,75640,107.65,80,108.0,680,608280,1187.6,106920,04JUL23,19450.0,PE,FINANCIALS,,True
180.9,1525,1525,182.25,50,182.95,75,53250,139.25,6625,27JUL23,42800.0,PE,ALLBANKS,14.65,False
156.0,50,50,155.5,100,156.0,500,236650,133.5,13800,31AUG23,18300.0,PE,MAINIDX,10.79,False
290.6,450,450,288.35,250,289.2,300,10000,106.5,11700,13JUL23,18350.0,CE,MAINIDX,13.65,True
4730.0,0,0,4688.3,750,5775.7,750,0,30.25,2125,27JUL23,38800.0,CE,ALLBANKS,,True
43.9,228480,228480,44.05,160,44.15,1080,3320360,4486.0,584440,04JUL23,19500.0,CE,FINANCIALS,,False
2100.0,0,0,2190.9,200,2237.6,200,0,68.0,5925,06JUL23,41800.0,CE,ALLBANKS,,True
417.85,0,0,310.8,375,315.39,375,0,38.5,1325,20JUL23,43600.0,PE,ALLBANKS,17.29,False
2.25,2640,2640,2.2,11560,2.25,1200,363280,1849.2,170760,04JUL23,18750.0,PE,FINANCIALS,,False
16.75,0,0,10.0,75,35.0,75,0,62.25,150,05JUL23,7950.0,CE,MIDCAP,,True
4.5,0,0,3.85,50,4.55,100,10050,177.5,8200,27JUL23,20100.0,CE,MAINIDX,14.67,False
518.0,0,0,518.0,25,999.95,25,0,10.75,50,28DEC23,40500.0,PE,ALLBANKS,17.32,False
231.1,150,150,228.55,250,229.4,800,11650,157.0,10100,13JUL23,18750.0,PE,MAINIDX,10.52,True
2.95,0,0,2.9,1825,2.95,5475,123250,1448.5,32975,06JUL23,49500.0,CE,ALLBANKS,64.16,False
16.39,34525,34525,16.35,5650,16.45,1025,1189825,1656.25,55275,06JUL23,45200.0,CE,ALLBANKS,23.72,False
248.0,30,30,248.15,15,251.3,45,78390,82.95,4350,31AUG23,42000.0,PE,ALLBANKS,14.87,False
2099.19,0,0,1786.85,25,1816.8,25,0,42.75,5025,27JUL23,42400.0,CE,ALLBANKS,23.75,True
15.95,0,0,15.95,0,15.95,0,0,32.5,0,31AUG23,16650.0,PE,MAINIDX,16.16,False
6.25,0,0,6.25,0,6.25,0,0,20.0,0,28DEC23,11000.0,PE,MAINIDX,31.49,False
89.2,36025,36025,88.75,150,88.95,225,708025,1908.75,64225,06JUL23,43400.0,PE,ALLBANKS,24.15,False
3440.0,0,0,3440.0,0,3440.0,0,0,0.0,50,26JUN25,17000.0,CE,MAINIDX,13.72,True
935.0,0,0,908.45,150,913.05,100,11300,170.0,20050,06JUL23,17650.0,CE,MAINIDX,54.7,True
4.59,550,550,4.59,1350,4.75,1950,1543400,549.0,25650,27JUL23,16000.0,PE,MAINIDX,26.63,False
170.0,0,0,170.0,0,170.0,0,0,37.0,0,26DEC24,15000.0,PE,MAINIDX,18.38,False
436.9,650,650,438.95,25,440.1,300,23725,231.75,18850,13JUL23,44100.0,PE,ALLBANKS,14.81,True
566.75,0,0,688.25,450,704.4,6600,0,170.0,18300,06JUL23,19250.0,PE,MAINIDX,,True
1060.2,0,0,203.55,450,961.6,450,0,18.0,915,28SEP23,43800.0,PE,ALLBANKS,16.35,False
1595.15,25,25,1593.0,225,1600.95,50,5925,796.5,5925,13JUL23,42500.0,CE,ALLBANKS,18.24,True
540.0,5450,5450,540.79,50,541.85,25,882650,1330.75,27900,27JUL23,44000.0,PE,ALLBANKS,13.66,True
151.6,6550,6550,151.6,200,151.65,100,1129000,503.5,98950,27JUL23,18700.0,CE,MAINIDX,10.49,False
